SourceOfWO,Title,RequestTypeName,TierCode,PriorityInterdepart,PriorityInternal,SLAWorkingDays,DueDate,MonitoringEmail,AssigneeEmail,AssignedHours,TenderOrProjectCode,IndicativeValue,ComplexityValue,Remark,ExtWoNo,ProjectCode,SourceDeptCode,EndUser,ReceivedDate,Status
CSI,2D Drawing - HSI - CAD Drawing Amendment,Tender / RFP,1,High,High,4,13-01-26,suhadi@10creativesolutions.com,,24,HSI.Consultant,,,HSI – Amendment of CAD Drawings Based on JKR’s Review Comments,400-06012026-020,,CSI,HSI,09-01-26,
CSI,Kajian Pasaran - LLM - POC - H3C,Leads / Opportunity,1,High,High,-9,14-01-26,suhadi@10creativesolutions.com,,24,LLM.POC,,,POC - H3C,,,CSI,LLM,23-01-26,
CSI,Kajian Pasaran - LLM - POC - H3C,Leads / Opportunity,1,High,High,-9,14-01-26,suhadi@10creativesolutions.com,,24,LLM.POC,,,POC - H3C,,,CSI,LLM,23-01-26,
CSI,Tender - Consultant - UKAS-UMPSA - Presentation,Tender / RFP,1,High,High,-9,14-01-26,suhadi@10creativesolutions.com,,24,UKAS-UMPSA.Prebid,,,Presentation,,,CSI,UKAS-UMPSA,23-01-26,
CSI,Tender - Consultant - UKAS-UMPSA - Presentation,Tender / RFP,1,High,High,-9,14-01-26,suhadi@10creativesolutions.com,,24,UKAS-UMPSA.Prebid,,,UKAS-UMPSA,,,CSI,UKAS-UMPSA,23-01-26,
CMT,Tender - TUDM - Tender Briefing,Tender / RFP,1,High,High,-9,14-01-26,suhadi@10creativesolutions.com,,24,,,,TUDM - Tender Briefing,,,CMT,TUDM,23-01-26,
CSI,Kajian Pasaran - JPA - RFQ,Leads / Opportunity,1,High,High,-9,14-01-26,suhadi@10creativesolutions.com,,24,,,,RFQ,,,CSI,JPA,23-01-26,
CSI,Event - CREAM CIDB - Seminar,Tender / RFP,1,High,High,-8,15-01-26,suhadi@10creativesolutions.com,,24,,,,Attend Autodesk Seminar o The Future of Construction in Malaysia : Connected by Data.,,,CSI,CREAM CIDB,23-01-26,
CSI,Event - CREAM CIDB - Seminar,Tender / RFP,1,High,High,-8,15-01-26,suhadi@10creativesolutions.com,,24,,,,The Future of Construction in Malaysia: Connected by Data Event,,,CSI,CREAM CIDB,23-01-26,
CMT,Tender - MINDEF - Pesawat,Tender / RFP,1,High,High,-8,15-01-26,suhadi@10creativesolutions.com,,24,QT250000000036604,,,"PEROLEHAN MEMBEKAL,MEMASANG, MENGKONFIGURASI MENGUJI DAN MENTAULIAH PERKAKASAN DAN KELENGKAPAN NO 15 SKUADRON BAGI PROJEK PEROLEHAN PESAWAT FLIT-LCA FASA 1 DI PANGKALAN UDARA KUANTAN",200-09012026-001,,CMT,MINDEF,23-01-26,
CSI,Event - CREAM CIDB - Seminar,,1,High,High,-7,16-01-26,suhadi@10creativesolutions.com,,24,,,,"Attending seminar about Future of Construction at Hyatt Regency
The Future of Construction in Malaysia: Connected by Data",,,CSI,CREAM CIDB,23-01-26,
CSI,Tender - Consultant - HSA2-M&R - Prebid Meeting,Tender / RFP,1,High,High,-7,16-01-26,suhadi@10creativesolutions.com,,24,HSA2-M&R.Prebid,,,Prebid Meeting,,,CSI,HSA2-M&R,23-01-26,
CPO,BIM - HSML - BIM document,BIM Postsales Total Solution,1,High,High,5,19-01-26,suhadi@10creativesolutions.com,,24,HSML. 2022.CONSULTANCY,,,"Redesign the ICT data points for Room CME 111 based on MC RIN No. HSM-RIN-256, including updated locations, quantities, and dimensions.  BIM Team to review, rectify items in 4WallE, and update the BIM model accordingly.",400-14012026-001,,CPO,HSML,14-01-26,
CPO,Project - SPR - HCI Proposal,Project Monitoring,1,High,High,-4,19-01-26,suhadi@10creativesolutions.com,,24,TE2535.MYSPR.MZ,,,Request your assistance in preparing a proposal report for the MySPR project.,400-15012026-012,,CPO,SPR,23-01-26,
CSI,Consultant - PDWS - Kick off Meeting,Tender / RFP,1,High,High,-4,19-01-26,suhadi@10creativesolutions.com,,24,PDWS.Consultant,,,Kick off Meeting,,,CSI,PDWS,23-01-26,
CMT,Tender - HSI - Tender Briefing,Tender / RFP,1,High,High,-4,19-01-26,suhadi@10creativesolutions.com,,24,,,,HSI Tender Briefing,,,CMT,HSI,23-01-26,
CPO,BIM - HSML - Redesign ICT data points for Room CME 111,BIM Postsales Total Solution,1,High,High,6,19-01-26,suhadi@10creativesolutions.com,,24,HSML.Consultant,,,Redesign ICT data points for Room CME 111,400-14012026-001,,CPO,HSML,13-01-26,
CSI,Tender - Consultant - HSA2 - Schematic Drawing,Tender / RFP,1,High,High,-4,19-01-26,suhadi@10creativesolutions.com,,24,HSA2.Prebid,,,Schematic Drawing - Zariq,,,CSI,HSA2,23-01-26,
CPO,2D Drawing - HKL - Update drawing,Tender / RFP,1,High,High,14,19-01-26,suhadi@10creativesolutions.com,,24,P2406.HKL.FS,,,Update and Add Labels to Construction Drawings for HKL,400-05012026-008,,CPO,HKL,01-05-26,
CMT,Tender - UPSI - Firewall,Tender / RFP,1,High,High,-3,20-01-26,suhadi@10creativesolutions.com,,24,UPSI/T/17/2025,,,"TENDER BAGI MEMBEKAL. MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH (DIMANA BERKENAAN) KONTRAK PERKHIDMATAN RANGKAIAN POINT TO POINT, PERKAKASAN BANDWIDTH MANAGER, WEB APPLICATION FIREWALL DAN LESEN PERKAKASAN KESELAMATAN FIREWALL BAGI TEMPOH TIGA(3) TAHUN UNTUK UNIVERSITI PENDIDIKAN SULTAN IDRIS, TANJONG MALIM, PERAK",200-08012026-002,,CMT,UPSI,23-01-26,
CSI,BIM - HUSM - HUSM BIM Physical Coordination,Tender / RFP,1,High,High,1,21-01-26,suhadi@10creativesolutions.com,,24,HUSM.BIM,,,"HUSM BIM Physical Coordination

HUSM – BIM Physical Coordination Meeting
Project: Hospital Universiti Sains Malaysia (HUSM)
Organizer / Main Contractor: CONLAY GROUP
Date: 21 January 2026
Mode: Physical Coordination",,,CSI,HUSM,20-01-26,
CPO,Project - JDN - Document Review (PR),Project Monitoring,1,High,High,-1,22-01-26,suhadi@10creativesolutions.com,,24,TE2554.JDN.10CS,,,"Request to review quotations (Comstor & Darultek Instrument)
COMSTOR
PR260054 (PTJ HW SP8) - Reviewed on 15th January 2026  
PR260055 (PTJ HW SP6) 
PR260056 (PTJ CON SP6)
PR260057 (PTJ CON SP8)
PR260058 (PTJ License Multisite)
PR260059 (PTJ SFP8)

DARULTEK INSTRUMENT 
PR260052",400-24122025-010,,CPO,JDN,23-01-26,
CSI,Tender - Consultant - HSA2 (Government) - Create Schematic Drawing,Tender / RFP,1,High,High,-1,22-01-26,suhadi@10creativesolutions.com,,24,HSA2.Prebid,,,Create Schematic Drawing,,,CSI,HSA2,23-01-26,
CMT,Tender - MAQIS - MDP,Tender / RFP,1,High,High,-1,22-01-26,suhadi@10creativesolutions.com,,24,MAQIS.(S) 400-10/11/1(5),,,"PERKHIDMATAN MEREKA BENTUK,MEMBANGUN,MEMBEKAL,MEMASANG,MENGUJI DAN MENTAULIAH MAQIS DIGITAL PLATFORM (MDP) SECARA REQUEST FOR PROPOSAL (RFP)",200-22122025-006,,CMT,MAQIS,23-01-26,
CSI,Tender - Consultant - HSA2 - M&R - Prebid Meeting,Tender / RFP,1,High,High,0,23-01-26,suhadi@10creativesolutions.com,,24,HSA2 - M&R.Prebid,,,HSA2 - M&R - Prebid Meeting,,,CSI,HSA2 - M&R,23-01-26,
CSI,BIM - HUSM - BIM Coordination Meeting ,BIM Postsales Total Solution,1,High,High,2,23-01-26,suhadi@10creativesolutions.com,,24,HUSM.Consultant,,,BIM Coordination Meeting - Venue: Chulan HQ and Zoom (Pysical),,,CSI,HUSM,21-01-26,
CSI,2D Drawing - JDN - Update Drawing,Tender / RFP,1,High,High,0,25-01-26,suhadi@10creativesolutions.com,,24,TE2554.JDN.10CS,,,Update diagram,400-24122025-010,,CSI,JDN,25-01-26,
CPO,Consultant - HUSM -  Infra Ducting Manhole Drawing,Tender / RFP,1,High,High,0,25-01-26,suhadi@10creativesolutions.com,,24,HUSM. 2024.CONSULTANCY,,, Infra Ducting Manhole Drawing,400-30122025-003,,CPO,HUSM,25-01-26,
SVP-Stanley,Kajian Pasaran - Mindef - DRC,Leads / Opportunity,1,High,High,3,26-01-26,suhadi@10creativesolutions.com,,,,,,MINDEF DRC proposal,,,SVP-Stanley,Mindef,23-01-26,
CSI,Tender - Consultant - HSA2 - Zariq - Create Schematic Drawing,Tender / RFP,1,High,High,3,26-01-26,suhadi@10creativesolutions.com,,,HSA2.Prebid,,,Create Schematic Drawing,,,CSI,HSA2 - Zariq,23-01-26,
CSI,HSML  - BIM coordination and review of LOD 300 outstanding issues.,Tender / RFP,1,High,High,1,26-01-26,suhadi@10creativesolutions.com,,24,,,,"Dear All BIM Coordinators,
You are cordially invited to attend the BIM Coordination Meeting 
The details are as follows:
 Date: Monday, 26th  January 2026 
Time: 4:00 p.m. – 5:30 p.m. 
Online Meeting via Google Meet 
______
Agenda
1. Overall, BIM Model LOD 300 Outstanding Issues
2. Current Site Progress and Utilization of BIM-Generated Drawings for Construction
      Site Verification Report by Respective Disciplines based on 2nd December 2025 visit.
3. BIM Coordination for LOD 350 / LOD 400 (Hospital Block and Car Park Block)
      Progress report and coordination status from each LOD 400 discipline team and      contractor’s team.
4. JKR Deliverables Submission and Verification Schedule for LOD 300.
      Status review of deliverables for Hospital Block and Car Park Block per JKR BIM submission   schedule by ",,,CSI,HSML,25-01-26,
CMT,Tender - PDT Petaling - Network,Tender / RFP,1,High,High,4,27-01-26,suhadi@10creativesolutions.com,,5,PDP/SH/2026/01,,,"PERKHIDMATAN MEMBEKAL, MENGHANTAR, MEMASANG, MENGKONFIGURASI MENGUJI DAN MENYELENGGARA PERALATAN DUA(2) UNIT NETWORK ATTACHED STORAGE (NAS) DI PEJABAT DAERAH DAN TANAH PETALING BAGI TAHUN 2026 SEHINGGA TAHUN 2027   ",,,CMT,PDT Petaling,23-01-26,
CMT,Tender - IADA - PC,Tender / RFP,1,High,High,4,27-01-26,suhadi@10creativesolutions.com,,24,QT250000000036549,,,"SEBUTHARGA PEROLEHAN PERKHIDMATAN SEWAAN, PENGHANTARAN, PEMASANGAN, PENGUJIAN, PENYELENGGARAAN SET KOMPUTER DI KAWASAN PEMBANGUNAN PERTANIAN BERSEPADU (IADA) SEBERANG PERAK BAGI TEMPOH TIGA TAHUN (36 BULAN)",200-20012026-002,,CMT,IADA,23-01-26,
CSI,BIM - HUSM - Color Coding,BIM Postsales Total Solution,1,High,High,4,27-01-26,suhadi@10creativesolutions.com,,,HUSM.BIM,,,To set up and standardize color coding in Navisworks in accordance with JKR BIM standard requirements for coordination and clash detection between ICT system,,,CSI,HUSM,23-01-26,
CMT,Tender - ANM - ICT,Tender / RFP,1,High,High,4,27-01-26,suhadi@10creativesolutions.com,,24,QT250000000036576,,,PERKHIDMATAN PENYELENGGARAAN PERKAKASAN UTAMA ICT UNTUK TEMPOH DUA TAHUN UNTUK AGENSI NUKLEAR MALAYSIA - SH39/2025 (PELAWAAN KEDUA),200-19012026-001,,CMT,ANM,23-01-26,
CMT,Tender - Nuklear - ICT,Tender / RFP,1,High,High,2,27-01-26,suhadi@10creativesolutions.com,,24,QT250000000036576,,,PERKHIDMATAN PENYELENGGARAAN PERKAKASAN UTAMA ICT UNTUK TEMPOH DUA TAHUN UNTUK AGENSI NUKLEAR MALAYSIA - SH39/2025 (PELAWAAN KEDUA),200-19012026-001,,CMT,Nuklear,25-01-26,
CSI,BIM - HSML - Redesign the ICT data points for Room CME 103 (Auditorium),Tender / RFP,1,High,High,1,27-01-26,suhadi@10creativesolutions.com,,24,HSML. 2022.CONSULTANCY,,,"Please redesign the ICT data points for Room CME 103 (Auditorium) in accordance with Main Contractor RIN No. HSM-RIN-257, including detailed locations, quantities, and measurements. Following this meeting, the BIM Team is required to review and rectify the relevant items in 4WALL and update the BIM model accordingly.",400-26012026-014,,CSI,HSML,26-01-26,
CPO,Meeting (Others) - POJ - Storage issues - RVT,Tender / RFP,1,High,High,1,27-01-26,suhadi@10creativesolutions.com,,1,TE2514.POJ-RVT.SC,,,"Kindly asking representative for site visit as detail below

Location : Meeting Room Lvl 5
Date : 27 Jan 2026
Time : 11.30am - 12.30am",400-26012026-016,,CPO,POJ,26-01-26,
CPO,Meeting (Others) - POJ - Storage Issues - RVT,Project Monitoring,1,High,High,1,27-01-26,suhadi@10creativesolutions.com,,1,TE2514.POJ-RVT.SC,,,"Kindly asking representative for site visit as detail below

Location : Meeting Room Lvl 5
Date : 27 Jan 2026
Time : 11.30am - 12.30am",400-26012026-016,,CPO,POJ,26-01-26,
CPO,Project - POJ-RVT - Storage Solution,Project Monitoring,1,High,High,5,28-01-26,suhadi@10creativesolutions.com,,,TE2514.POJ-RVT.SC,,,RVT-POJ | ISU KEKANGAN RUANG STORAN SERVER CORERVT DAN CADANGAN PENYELESAIAN JANGKA PANJANG,400-21012026-008,,CPO,POJ-RVT,23-01-26,
CMT,Tender - Pergigian - ICT,Tender / RFP,1,High,High,5,28-01-26,suhadi@10creativesolutions.com,,,QT250000000035757,,,[FTA(CPTPP)] PENGGANTIAN DAN PERTAMBAHAN PERKAKASAN SERTA PERISIAN ICT BAGI MENYOKONG PENDIGITALAN PERKHIDMATAN KESIHATAN PERGIGIAN DI KLINIK PERGIGIAN KEMENTERIAN KESIHATAN MALAYSIA BAGI TEMPOH KONTRAK 12 BULAN,200-22122025-002,,CMT,Pergigian,23-01-26,
CSI,2D Drawing - HSA2 - Schematic Drawing,Tender / RFP,1,High,High,3,28-01-26,suhadi@10creativesolutions.com,,24,HSA2 Goverment.Prebid,,,Schematic Drawing,,,CSI,HSA2,25-01-26,
CSI,BIM - HSA2 - Schematic Diagram,BIM Postsales Total Solution,1,High,High,3,28-01-26,suhadi@10creativesolutions.com,,24,HSA2 Private.Prebid,,,Creating Schematic Diagram,,,CSI,HSA2,25-01-26,
CSI,"BIM - HUSM - HUSM - BIM coordination on outstanding architectural, M&E and structural issues.",BIM Postsales Total Solution,1,High,High,2,28-01-26,suhadi@10creativesolutions.com,,24,,,,"HUSM Meeting Coordination 
Venue : Meeting Room 1, Arkitek MAA Office.
Time   : 9.30am 

Meeting Agenda :
1. Coordination on reflected ceiling plan with light fitting,
2. Coordination on exhaust grille at the facade.
3. Coordination on structural item for M&E services.
4. Coordination on staircase detail.
5. Coordination on BIM Model completion.
6. Status of authorities and drawing submission.
",,,CSI,HUSM,26-01-26,
CSI,Tender - MQA - Tender briefing ,Tender / RFP,1,High,High,1,28-01-26,suhadi@10creativesolutions.com,,4,MQA.TenderBriefing,,,"Tender Briefing - MQA

Wisma MQA Cyberjaya 
10.00 AM
28/1/2026",,,CSI,MQA,24-01-26,
CSI,Tender - MQA - Tender Briefing - Online,Tender / RFP,1,High,High,1,28-01-26,suhadi@10creativesolutions.com,,4,MQA.TenderBriefing,,,"Tender Briefing - MQA
Online - 10.00 AM

Backup & Storage",,,CSI,MQA,25-01-26,
CPO,Project - JDN -  Review Cisco SRD Document ,Project Monitoring,1,High,High,0,28-01-26,suhadi@10creativesolutions.com,,24,TE2554.JDN.10CS,,,"To review Cisco SRD Document for PMO team to proceed with formatting and Cisco 
SRD Document
​SRD Questionnaires",400-26012026-005,,CPO,JDN,28-01-26,
CSI,BIM - HUSM - Correction on HUSM ICT ,BIM Postsales Total Solution,1,High,High,3,29-01-26,suhadi@10creativesolutions.com,,24,,,,Correction on HUSM ICT in Revit ,,,CSI,HUSM,26-01-26,
CSI,Tender - Consultant - HSA 2 - Prebid - AIM Concept,Tender / RFP,1,High,High,7,30-01-26,suhadi@10creativesolutions.com,,,HSA2-AIM.Prebid,,,HSA 2,,,CSI,HSA 2,23-01-26,
CSI,Tender - Consultant - HSA 2 - Prebid - M&R ARCHITECTS,Tender / RFP,1,High,High,7,30-01-26,suhadi@10creativesolutions.com,,,HSA2.Prebid,,,HSA 2,,,CSI,HSA 2,23-01-26,
CSI,Tender - Consultant - SK Bukit Rahman - Prebid,Tender / RFP,1,High,High,7,30-01-26,suhadi@10creativesolutions.com,,,SK Bukit Rahman.Prebid,,,SK Bukit Rahman,,,CSI,SK Bukit Rahman,23-01-26,
CSI,Tender - Consultant - UKAS-UMT - Prebid,Tender / RFP,1,High,High,7,30-01-26,suhadi@10creativesolutions.com,,,UKAS-UMT.Prebid,,,UKAS-UMT,,,CSI,UKAS-UMT,23-01-26,
